@relation train1.5.txt

@attribute Area numeric
@attribute Perim. numeric
@attribute Major numeric
@attribute Minor numeric
@attribute Angle numeric
@attribute target {rods,puntcua,networks}

@data
25.4,34.6,11,2.93,32,rods
37.2,28,9.92,4.77,134,rods
25.4,36.1,11,2.93,180,rods
25.4,32,7.93,4.07,128,rods
32.1,38,7.1,5.76,3.82,rods
40.6,53.8,9.31,5.55,53.2,rods
35.5,32.5,9.73,4.64,152,rods
27,28,6.38,5.4,168,puntcua
25.4,29.1,8.81,3.66,18.4,rods
32.1,37.2,10.6,3.84,104,rods
40.6,28.3,9.22,5.6,136,rods
30.4,43.5,10.4,3.73,58.6,rods
28.7,30.2,10.2,3.6,17.9,rods
38.9,33.5,11,4.49,173,rods
28.7,26.2,9.72,3.76,17.6,puntcua
32.1,35.4,12.7,3.22,84.3,rods
38.9,40.1,13.9,3.57,159,rods
27,44.6,8.92,3.86,121,rods
27,31.7,8.55,4.03,81.7,rods
37.2,38.3,12.4,3.82,97.7,rods
30.4,37.2,10,3.87,161,rods
30.4,30.6,10.9,3.57,79,rods
30.4,42.4,10.7,3.6,65.9,rods
37.2,30.2,8.62,5.49,142,rods
28.7,26.5,9.07,4.03,170,puntcua
35.5,40.9,11.1,4.06,44.6,rods
27,22.8,8.58,4.01,13.4,puntcua
33.8,37.2,8.54,5.04,157,rods
37.2,41.3,15.7,3.01,24.4,rods
35.5,29.9,11.6,3.89,56.9,rods
28.7,19.1,6.43,5.69,5,puntcua
35.5,30.9,10.6,4.28,166,rods
33.8,30.6,12.2,3.53,172,rods
38.9,33.5,10.9,4.55,156,rods
32.1,29.9,11,3.73,13,rods
27,21.7,7.23,4.76,60.4,puntcua
25.4,21.4,7.49,4.31,123,puntcua
25.4,35.4,8.54,3.78,9.03,rods
35.5,37.2,11.6,3.89,1.08,rods
28.7,29.9,11.5,3.19,117,rods
28.7,27.3,8.95,4.09,46.1,puntcua
37.2,30.6,11,4.29,140,rods
32.1,39.4,8,5.11,3.28,rods
33.8,45.3,7.21,5.97,167,rods
35.5,26.2,8.96,5.04,16.1,rods
28.7,30.9,9.62,3.8,153,rods
28.7,24.7,6.54,5.6,734,puntcua
27,34.6,7.3,4.71,179,rods
28.7,24.3,8.19,4.47,15.3,puntcua
25.4,30.2,8.87,3.64,19.3,rods
38.9,39.1,12.1,4.07,125,rods
30.4,33.5,10.1,3.85,44.8,rods
28.7,25.4,6.58,5.56,169,puntcua
28.7,23.6,8.2,4.46,547,puntcua
27,21.7,6.97,4.94,33.8,puntcua
33.8,30.9,7.69,5.6,24,rods
33.8,26.5,8.98,4.79,162,puntcua
35.5,31.7,12.6,3.6,146,rods
27,25.4,9.29,3.7,153,puntcua
28.7,36.6,10.7,3.41,87.2,rods
38.9,49,14,3.53,172,rods
35.5,36.9,13.2,3.43,5.05,rods
37.2,29.9,10.1,4.7,161,rods
27,35.7,6.82,5.05,166,rods
27,23.6,9.1,3.78,157,puntcua
35.5,34.6,10.2,4.42,74.6,rods
35.5,31.7,10.6,4.26,149,rods
25.4,34.6,8.67,3.72,165,rods
30.4,39.4,8.35,4.64,79.7,rods
25.4,30.9,6.29,5.14,126,rods
33.8,42.7,9.1,4.73,172,rods
27,21,7.8,4.41,22.5,puntcua
32.1,29.9,10.3,3.96,146,rods
25.4,26.5,8.06,4.01,141,puntcua
38.9,29.1,9.98,4.96,75,rods
40.6,27.7,12,4.29,11.7,rods
28.7,19.9,7.64,4.79,111,puntcua
25.4,25.4,8.42,3.83,111,puntcua
28.7,41.7,6.26,5.85,83.9,rods
38.9,36.1,9.7,5.1,177,rods
30.4,40.1,8.26,4.69,79.5,rods
37.2,43.8,9.58,4.94,30.5,rods
27,21,6.64,5.18,29,puntcua
27,23.3,9.76,3.53,9.16,puntcua
40.6,35.7,10.4,4.96,107,rods
25.4,35.7,9.34,3.46,125,rods
25.4,28.8,10.8,2.99,90.5,puntcua
25.4,36.5,10.1,3.19,88.6,rods
35.5,29.9,7.67,5.89,48.2,rods
40.6,42.7,12.8,4.03,136,rods
38.9,37.2,8.24,6,170,rods
32.1,36.5,12.1,3.38,130,rods
30.4,35.1,11.2,3.46,108,rods
30.4,43.8,6.72,5.77,22.8,rods
27,37.2,9.13,3.77,1.77,rods
27,36.9,7.27,4.74,85,rods
27,36.1,10.2,3.37,85.6,rods
25.4,29.9,6.9,4.68,160,rods
30.4,36.9,9.98,3.88,16.2,rods
25.4,41.2,11.4,2.84,360,rods
35.5,29.9,10.2,4.42,76.1,rods
37.2,47.9,8.2,5.77,92.7,rods
32.1,29.1,10.2,4,145,rods
30.4,38.7,12.3,3.16,107,rods
27,22.8,7.19,4.79,178,puntcua
28.7,29.1,8.47,4.32,99.8,rods
30.4,24.7,8.62,4.49,68.2,puntcua
38.9,36.5,10.9,4.52,79.3,rods
28.7,32.8,8.33,4.39,1.71,rods
25.4,25.4,5.86,5.51,165,puntcua
32.1,38.3,9.56,4.28,3.43,rods
27,32.5,8.12,4.24,3.76,rods
37.2,27.7,11.8,4.03,173,rods
25.4,32.8,7.04,4.59,66.1,rods
28.7,24.7,7.75,4.72,114,puntcua
27,32.5,7.74,4.45,716,rods
32.1,29.1,9.48,4.31,1.9,rods
27,32.8,10.7,3.2,154,rods
35.5,33.9,7.57,5.97,178,rods
32.1,47.2,11.9,3.43,126,rods
37.2,38.3,11.5,4.12,32.1,rods
33.8,26.5,8.04,5.35,122,puntcua
37.2,34.6,9.53,4.97,144,rods
40.6,52.4,9.01,5.73,3.78,rods
33.8,25.4,6.79,6.34,11,puntcua
25.4,33.9,5.93,5.44,50,rods
37.2,36.9,8.7,5.44,65.7,rods
32.1,28.3,8.68,4.71,17.8,puntcua
